date,total,mean,std,up,count,max,min,sharpe,uppct
7/27/2000,-1.25,-1.25,1.00E-06,0,1,-1.25,-1.25,-19843134.83,0
12/5/2000,-0.25,-0.25,1.00E-06,0,1,-0.25,-0.25,-3968626.967,0
7/1/2005,0,0,1.00E-06,1,1,0,0,0,1
1/10/2007,0,0,1.00E-06,1,1,0,0,0,1
12/20/2007,-0.310000017,-0.310000017,1.00E-06,0,1,-0.310000017,-0.310000017,-4921097.713,0
6/10/2008,0,0,1.00E-06,1,1,0,0,0,1
3/3/2009,0,0,1.00E-06,1,1,0,0,0,1
9/28/2009,0,0,1.00E-06,1,1,0,0,0,1
11/3/2009,0.050000191,0.050000191,1.00E-06,1,1,0.050000191,0.050000191,793728.4211,1
8/26/2010,0.319999695,0.319999695,1.00E-06,1,1,0.319999695,0.319999695,5079837.673,1
12/17/2010,-0.160000324,-0.080000162,0.056568826,0,2,-0.039999962,-0.120000362,-22.44987741,0
2/25/2011,-0.319999695,-0.319999695,1.00E-06,0,1,-0.319999695,-0.319999695,-5079837.673,0
6/1/2011,-1.167098999,-1.167098999,1.00E-06,0,1,-1.167098999,-1.167098999,-18527122.24,0
6/30/2011,1.284999847,1.284999847,1.00E-06,1,1,1.284999847,1.284999847,20398740.19,1
10/31/2011,-0.112744331,-0.112744331,1.00E-06,0,1,-0.112744331,-0.112744331,-1789760.775,0
12/16/2011,0.079999924,0.039999962,0.056568489,2,2,0.079999924,0,11.22497216,1
12/20/2011,0.055000067,0.055000067,1.00E-06,1,1,0.055000067,0.055000067,873098.9924,1
3/13/2012,-0.039999962,-0.039999962,1.00E-06,0,1,-0.039999962,-0.039999962,-634979.7091,0
5/17/2012,-0.045000017,-0.045000017,1.00E-06,0,1,-0.045000017,-0.045000017,-714353.1189,0
7/31/2012,-0.100000024,-0.100000024,1.00E-06,0,1,-0.100000024,-0.100000024,-1587451.165,0
10/10/2012,0.190000534,0.190000534,1.00E-06,1,1,0.190000534,0.190000534,3016164.973,1
12/3/2012,0,0,1.00E-06,1,1,0,0,0,1
12/11/2012,0.029999733,0.029999733,1.00E-06,1,1,0.029999733,0.029999733,476230.997,1
12/21/2012,100,100,1.00E-06,1,1,100,100,1587450787,1
12/31/2012,-0.010000229,-0.010000229,1.00E-06,0,1,-0.010000229,-0.010000229,-158748.7121,0
2/15/2013,-0.059997559,-0.059997559,1.00E-06,0,1,-0.059997559,-0.059997559,-952431.7159,0
6/6/2013,0.459999084,0.459999084,1.00E-06,1,1,0.459999084,0.459999084,7302259.085,1
6/21/2013,0.090000153,0.090000153,1.00E-06,1,1,0.090000153,0.090000153,1428708.13,1
7/8/2013,-0.039999962,-0.039999962,1.00E-06,0,1,-0.039999962,-0.039999962,-634979.7091,0
9/10/2013,195,195,1.00E-06,1,1,195,195,3095529034,1
9/20/2013,-0.039999962,-0.019999981,0.028284244,1,2,0,-0.039999962,-11.22497216,0.5
12/2/2013,-0.219999313,-0.219999313,1.00E-06,0,1,-0.219999313,-0.219999313,-3492380.83,0
12/23/2013,0.260000229,0.130000114,0.056568489,2,2,0.170000076,0.090000153,36.48122643,1
3/21/2014,0.149999619,0.149999619,1.00E-06,1,1,0.149999619,0.149999619,2381170.124,1
4/2/2014,-0.170000076,-0.170000076,1.00E-06,0,1,-0.170000076,-0.170000076,-2698667.548,0
5/1/2014,0.246997833,0.246997833,1.00E-06,1,1,0.246997833,0.246997833,3920969.047,1
5/8/2014,0.059997559,0.059997559,1.00E-06,1,1,0.059997559,0.059997559,952431.7159,1
6/20/2014,0.050001144,0.050001144,1.00E-06,1,1,0.050001144,0.050001144,793743.5603,1
7/2/2014,0.069999695,0.069999695,1.00E-06,1,1,0.069999695,0.069999695,1111210.706,1
9/20/2014,1.00302124,1.00302124,1.00E-06,1,1,1.00302124,1.00302124,15922468.57,1
11/5/2014,-0.11000061,-0.11000061,1.00E-06,0,1,-0.11000061,-0.11000061,-1746205.554,0
12/5/2014,-0.029998779,-0.029998779,1.00E-06,0,1,-0.029998779,-0.029998779,-476215.8579,0
1/27/2015,0,0,1.00E-06,1,1,0,0,0,1
3/23/2015,-0.749983788,-0.187495947,0.470621203,3,4,0.11000061,-0.889984131,-6.324419433,0.75
7/1/2015,-0.050001144,-0.050001144,1.00E-06,0,1,-0.050001144,-0.050001144,-793743.5603,0
7/2/2015,0.079999924,0.079999924,1.00E-06,1,1,0.079999924,0.079999924,1269959.418,1
7/20/2015,0.329999924,0.329999924,1.00E-06,1,1,0.329999924,0.329999924,5238586.385,1
11/18/2015,0.039999962,0.039999962,1.00E-06,1,1,0.039999962,0.039999962,634979.7091,1
12/1/2015,0,0,1.00E-06,1,1,0,0,0,1
1/5/2016,0.229999542,0.229999542,1.00E-06,1,1,0.229999542,0.229999542,3651129.542,1
1/19/2016,-0.059997559,-0.059997559,1.00E-06,0,1,-0.059997559,-0.059997559,-952431.7159,0
3/4/2016,0.191666603,0.191666603,1.00E-06,1,1,0.191666603,0.191666603,3042612.998,1
3/30/2016,267.550293,267.550293,1.00E-06,1,1,267.550293,267.550293,4247229230,1
4/18/2016,-0.200000763,-0.200000763,1.00E-06,0,1,-0.200000763,-0.200000763,-3174913.685,0
4/25/2016,-0.119998932,-0.119998932,1.00E-06,0,1,-0.119998932,-0.119998932,-1904923.988,0
7/1/2016,500,500,1.00E-06,1,1,500,500,7937253933,1
9/6/2016,-0.078220367,-0.078220367,1.00E-06,0,1,-0.078220367,-0.078220367,-1241709.838,0
9/8/2016,-372,-372,1.00E-06,0,1,-372,-372,-5905316926,0
9/22/2016,0,0,1.00E-06,1,1,0,0,0,1
9/30/2016,0.130001068,0.130001068,1.00E-06,1,1,0.130001068,0.130001068,2063702.978,1
12/2/2016,-0.13999939,-0.069999695,0.042424681,0,2,-0.040000916,-0.099998474,-26.1925533,0
3/1/2017,0.149999619,0.149999619,1.00E-06,1,1,0.149999619,0.149999619,2381170.124,1
3/2/2017,-0.119999886,-0.119999886,1.00E-06,0,1,-0.119999886,-0.119999886,-1904939.127,0
3/16/2017,38.2800293,38.2800293,1.00E-06,1,1,38.2800293,38.2800293,607676626.2,1
3/20/2017,0.13999939,0.13999939,1.00E-06,1,1,0.13999939,0.13999939,2222421.412,1
4/4/2017,0.050000191,0.050000191,1.00E-06,1,1,0.050000191,0.050000191,793728.4211,1
4/5/2017,0,0,1.00E-06,1,1,0,0,0,1
6/2/2017,-0.140000343,-0.140000343,1.00E-06,0,1,-0.140000343,-0.140000343,-2222436.551,0
6/19/2017,0.930000305,0.465000153,0.247486294,2,2,0.63999939,0.290000916,29.82649442,1
7/26/2017,0.730002403,0.182500601,0.184639412,3,4,0.350000381,-0.049999237,15.69062201,0.75
8/8/2017,0.119998932,0.119998932,1.00E-06,1,1,0.119998932,0.119998932,1904923.988,1
9/1/2017,0.014228821,0.014228821,1.00E-06,1,1,0.014228821,0.014228821,225875.5277,1
3/7/2018,0,0,1.00E-06,1,1,0,0,0,1
3/19/2018,-0.169999838,-0.056666613,0.089628779,1,3,0,-0.159999847,-10.0364481,0.333333333
6/5/2018,0.170000076,0.170000076,1.00E-06,1,1,0.170000076,0.170000076,2698667.548,1
6/18/2018,-0.309997559,-0.309997559,1.00E-06,0,1,-0.309997559,-0.309997559,-4921058.682,0
10/1/2018,0,0,1.00E-06,1,1,0,0,0,1
10/11/2018,0,0,1.00E-06,1,1,0,0,0,1
11/6/2018,0,0,1.00E-06,1,1,0,0,0,1
11/13/2018,0.033166885,0.033166885,1.00E-06,1,1,0.033166885,0.033166885,526507.9828,1
12/3/2018,0.770000458,0.770000458,1.00E-06,1,1,0.770000458,0.770000458,12223378.32,1
1/2/2019,0,0,1.00E-06,1,1,0,0,0,1
1/18/2019,0.299999714,0.299999714,1.00E-06,1,1,0.299999714,0.299999714,4762347.818,1
2/27/2019,0.039999008,0.039999008,1.00E-06,1,1,0.039999008,0.039999008,634964.57,1
4/2/2019,-0.290000916,-0.290000916,1.00E-06,0,1,-0.290000916,-0.290000916,-4603621.815,0
6/3/2019,0.030000687,0.030000687,1.00E-06,1,1,0.030000687,0.030000687,476246.1362,1
6/7/2019,-0.069999695,-0.069999695,1.00E-06,0,1,-0.069999695,-0.069999695,-1111210.706,0
8/9/2019,-0.159999847,-0.159999847,1.00E-06,0,1,-0.159999847,-0.159999847,-2539918.836,0
9/26/2019,-0.009363174,-0.009363174,1.00E-06,0,1,-0.009363174,-0.009363174,-148635.7863,0
10/3/2019,-0.100000381,-0.100000381,1.00E-06,0,1,-0.100000381,-0.100000381,-1587456.842,0
11/21/2019,0,0,1.00E-06,1,1,0,0,0,1
12/23/2019,0.350002289,0.175001144,0.0353548,2,2,0.200000763,0.150001526,78.57651794,1
3/3/2020,0,,,,,,,,
